"","Project","Owner.s.","Confidence","variable","value"
"196","Ashram MHREO","Commerce Resources Corp.","Measured + Indicated","LREO",1.54043932926829
"197","Ashram Total","Commerce Resources Corp.","Measured + Indicated","LREO",1.83862727272727
"198","Bear Lodge","Rare Element Resources Ltd.","Measured + Indicated","LREO",3.0233505853358
"199","Bokan - Dotson","Ucore Rare Metals Inc.","Measured + Indicated","LREO",0.391
"200","Brockmans","Hastings Rare Metals Limited","Measured + Indicated","LREO",0.0377
"201","Browns Range","Northern Minerals Limited","Measured + Indicated","LREO",0.146634097
"202","Buckton","DNI Metals Inc.","Measured + Indicated","LREO",0.01972
"203","Charley Creek - Cattle Creek ","Crossland Strategic Metals Ltd.","Measured + Indicated","LREO",2.2848
"204","Charley Creek - Western Dam ","Crossland Strategic Metals Ltd.","Measured + Indicated","LREO",2.62752
"205","Dubbo Zirconia Project","Alkane Resources Ltd.","Measured + Indicated","LREO",0.7031
"206","Eco Ridge","Pele Mountain Resources Inc.","Measured + Indicated","LREO",0.1484
"207","Elliott Lake Teasdale","Appia Energy Corp.","Measured + Indicated","LREO",0.18216022
"208","Foxtrot","Search Minerals Inc.","Measured + Indicated","LREO",0.8515
"209","Glenover ","Galileo Resources PLC","Measured + Indicated","LREO",1.395558291
"210","Hoidas Lake ","Great Western Minerals  Ltd.","Measured + Indicated","LREO",2.03090810769361
"211","Kipawa","Matamec Explorations Inc.","Measured + Indicated","LREO",0.245156800938928
"212","Lavergne-Springer","Canada Rare Earth Corp.","Measured + Indicated","LREO",1.094
"213","Lofdal","Namibia Rare Earths Inc.","Measured + Indicated","LREO",0.122
"214","Montviel","Geomega Resources Inc.","Measured + Indicated","LREO",1.4414
"215","Mount Weld CLD","Lynas Corporation Ltd.","Measured + Indicated","LREO",9.94714101449275
"216","Mount Weld Duncan","Lynas Corporation Ltd.","Measured + Indicated","LREO",4.71648
"217","Mrima Hill High Grade","Pacific Wildcat Resources Corp.","Measured + Indicated","LREO",6.6622
"218","Mrima Hill Main","Pacific Wildcat Resources Corp.","Measured + Indicated","LREO",4.146
