"","Project","Owner.s.","Confidence","variable","value"
"588","Brockmans","Hastings Rare Metals Limited","Measured + Indicated","HoT",0.820647002854424
"589","Browns Range","Northern Minerals Limited","Measured + Indicated","HoT",0.789180041492746
"590","Buckton","DNI Metals Inc.","Measured + Indicated","HoT",0.218080888183981
"591","Charley Creek - Cattle Creek ","Crossland Strategic Metals Ltd.","Measured + Indicated","HoT",0.184
"592","Charley Creek - Western Dam ","Crossland Strategic Metals Ltd.","Measured + Indicated","HoT",0.184
"593","Dubbo Zirconia Project","Alkane Resources Ltd.","Measured + Indicated","HoT",0.21
"594","Eco Ridge","Pele Mountain Resources Inc.","Measured + Indicated","HoT",0.0725
"595","Elliott Lake Teasdale","Appia Energy Corp.","Measured + Indicated","HoT",0.057801988554708
"596","Foxtrot","Search Minerals Inc.","Measured + Indicated","HoT",0.176020901877298
"597","Glenover ","Galileo Resources PLC","Measured + Indicated","HoT",0.0385176669908103
"598","Hoidas Lake ","Great Western Minerals  Ltd.","Measured + Indicated","HoT",0.0169803748671464
"599","Kipawa","Matamec Explorations Inc.","Measured + Indicated","HoT",0.354882183196446
"600","Lavergne-Springer","Canada Rare Earth Corp.","Measured + Indicated","HoT",0.0403508771929825
"601","Lofdal","Namibia Rare Earths Inc.","Measured + Indicated","HoT",0.803542673107891
"602","Montviel","Geomega Resources Inc.","Measured + Indicated","HoT",0.00784691629955947
"603","Mount Weld CLD","Lynas Corporation Ltd.","Measured + Indicated","HoT",0.00633802816901408
"604","Mount Weld Duncan","Lynas Corporation Ltd.","Measured + Indicated","HoT",0.0753849230153969
"605","Mrima Hill High Grade","Pacific Wildcat Resources Corp.","Measured + Indicated","HoT",0.0399181461839982
"606","Mrima Hill Main","Pacific Wildcat Resources Corp.","Measured + Indicated","HoT",0.0595013950956151
"607","Nechalacho Basal","Avalon Rare Metals Inc.","Measured + Indicated","HoT",0.176509433399826
"608","Nechalacho Upper","Avalon Rare Metals Inc.","Measured + Indicated","HoT",0.0700842326928139
"609","Ngualla","Peak Resources Ltd.","Measured + Indicated","HoT",0.0081
"610","Nolans","Arafura Resources Ltd.","Measured + Indicated","HoT",0.0193747184141784
"611","Norra Kärr","Tasman Metals Ltd.","Measured + Indicated","HoT",0.473900179634391
"612","Olserum","Tasman Metals Ltd.","Measured + Indicated","HoT",0.314368699812062
"613","Round Top","Texas Rare Earth Resources Corp.","Measured + Indicated","HoT",0.707002190071289
"614","Sarfartoq","Hudson Resources Inc.","Measured + Indicated","HoT",0.00655515370705244
"615","Songwe Hill","Mkango Resources Ltd.","Measured + Indicated","HoT",0.0515964711850601
"616","Steenkampskraal - In Situ","Great Western Minerals  Ltd.","Measured + Indicated","HoT",0.0590877449284492
"617","Steenkampskraal - Tailings","Great Western Minerals  Ltd.","Measured + Indicated","HoT",0.0637200223089794
"618","Strange Lake Enriched","Quest Rare Minerals Ltd.","Measured + Indicated","HoT",0.468424705065926
"619","Strange Lake Granite","Quest Rare Minerals Ltd.","Measured + Indicated","HoT",0.352017937219731
"620","Tantalus","Tantalus Rare Earths AG","Measured + Indicated","HoT",0.165274378593462
"621","Xiluvo","Promac Lda.","Measured + Indicated","HoT",0.0541871921182266
"622","Yangibana ","Hastings Rare Metals Limited","Measured + Indicated","HoT",0.0105121094339623
"623","Zandkopsdrift ","Frontier Rare Earths Ltd.","Measured + Indicated","HoT",0.0580202472777729
"624","Aksu Diamas","AMR Mineral Metal Inc.","Measured + Indicated + Inferred","HoT",0.0740342270229949
"625","Araxá","MBAC Fertilizer Corp.","Measured + Indicated + Inferred","HoT",0.0165049916965485
"626","Ashram MHREO","Commerce Resources Corp.","Measured + Indicated + Inferred","HoT",0.0568971428669882
"627","Ashram Total","Commerce Resources Corp.","Measured + Indicated + Inferred","HoT",0.0245231959472267
"628","Bear Lodge","Rare Element Resources Ltd.","Measured + Indicated + Inferred","HoT",0.020639638456953
"629","Bokan - Dotson","Ucore Rare Metals Inc.","Measured + Indicated + Inferred","HoT",0.359779208587512
"630","Brockmans","Hastings Rare Metals Limited","Measured + Indicated + Inferred","HoT",0.820647002854424
"631","Browns Range","Northern Minerals Limited","Measured + Indicated + Inferred","HoT",0.789066574844691
"632","Buckton","DNI Metals Inc.","Measured + Indicated + Inferred","HoT",0.22018551396115
"633","Buckton South","DNI Metals Inc.","Measured + Indicated + Inferred","HoT",0.22391043582567
"634","Charley Creek - Cattle Creek ","Crossland Strategic Metals Ltd.","Measured + Indicated + Inferred","HoT",0.184
"635","Charley Creek - Western Dam ","Crossland Strategic Metals Ltd.","Measured + Indicated + Inferred","HoT",0.184
"636","Clay-Howells","Canada Rare Earth Corp.","Measured + Indicated + Inferred","HoT",0.0740740740740741
"637","Dubbo Zirconia Project","Alkane Resources Ltd.","Measured + Indicated + Inferred","HoT",0.21
"638","Eco Ridge","Pele Mountain Resources Inc.","Measured + Indicated + Inferred","HoT",0.0736470429195562
"639","Elliott Lake Teasdale","Appia Energy Corp.","Measured + Indicated + Inferred","HoT",0.0577492787283151
"640","Foxtrot","Search Minerals Inc.","Measured + Indicated + Inferred","HoT",0.175558527825421
"641","Glenover ","Galileo Resources PLC","Measured + Indicated + Inferred","HoT",0.0388364842196868
"642","Hoidas Lake ","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","HoT",0.0173921516456391
"643","Kipawa","Matamec Explorations Inc.","Measured + Indicated + Inferred","HoT",0.349657669242678
"644","Lavergne-Springer","Canada Rare Earth Corp.","Measured + Indicated + Inferred","HoT",0.0317692895545127
"645","Lofdal","Namibia Rare Earths Inc.","Measured + Indicated + Inferred","HoT",0.802182600676299
"646","Milo","GBM Resources Ltd.","Measured + Indicated + Inferred","HoT",0.107438016528926
"647","Montviel","Geomega Resources Inc.","Measured + Indicated + Inferred","HoT",0.00803828120287193
"648","Mount Weld CLD","Lynas Corporation Ltd.","Measured + Indicated + Inferred","HoT",0.00633802816901408
"649","Mount Weld Duncan","Lynas Corporation Ltd.","Measured + Indicated + Inferred","HoT",0.0753849230153969
"650","Mrima Hill High Grade","Pacific Wildcat Resources Corp.","Measured + Indicated + Inferred","HoT",0.0399188672167752
"651","Mrima Hill Main","Pacific Wildcat Resources Corp.","Measured + Indicated + Inferred","HoT",0.0595044279732516
"652","Nechalacho Basal","Avalon Rare Metals Inc.","Measured + Indicated + Inferred","HoT",0.165831597363733
"653","Nechalacho Upper","Avalon Rare Metals Inc.","Measured + Indicated + Inferred","HoT",0.0682956967271867
"654","Ngualla","Peak Resources Ltd.","Measured + Indicated + Inferred","HoT",0.0081
"655","Nolans","Arafura Resources Ltd.","Measured + Indicated + Inferred","HoT",0.0230106617804972
"656","Norra Kärr","Tasman Metals Ltd.","Measured + Indicated + Inferred","HoT",0.46782392057422
"657","Olserum","Tasman Metals Ltd.","Measured + Indicated + Inferred","HoT",0.303855892817077
"658","Round Top","Texas Rare Earth Resources Corp.","Measured + Indicated + Inferred","HoT",0.705568611572758
"659","Sarfartoq","Hudson Resources Inc.","Measured + Indicated + Inferred","HoT",0.00670209805646128
"660","Songwe Hill","Mkango Resources Ltd.","Measured + Indicated + Inferred","HoT",0.0534085466699374
"661","Steenkampskraal - In Situ","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","HoT",0.0590709018037366
"662","Steenkampskraal - Tailings","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","HoT",0.0637200223089794
"663","Strange Lake Enriched","Quest Rare Minerals Ltd.","Measured + Indicated + Inferred","HoT",0.468424705065926
"664","Strange Lake Granite","Quest Rare Minerals Ltd.","Measured + Indicated + Inferred","HoT",0.338401090350375
"665","Tantalus","Tantalus Rare Earths AG","Measured + Indicated + Inferred","HoT",0.151073078902898
"666","Two Tom","Canada Rare Earth Corp.","Measured + Indicated + Inferred","HoT",0.0439932318104907
"667","Wigu Hill Twiga","Montero Mining and Exploration Ltd.","Measured + Indicated + Inferred","HoT",0.00283718165812522
"668","Xiluvo","Promac Lda.","Measured + Indicated + Inferred","HoT",0.0541871921182266
"669","Yangibana ","Hastings Rare Metals Limited","Measured + Indicated + Inferred","HoT",0.0104724115884807
"670","Zandkopsdrift ","Frontier Rare Earths Ltd.","Measured + Indicated + Inferred","HoT",0.0580123885166672
"671","Bear Lodge","Rare Element Resources Ltd.","Proven + Probable","HoT",0.0184674337539377
"672","Dubbo Zirconia Project","Alkane Resources Ltd.","Proven + Probable","HoT",0.21
"673","Kipawa","Matamec Explorations Inc.","Proven + Probable","HoT",0.333333333333333
"674","Mount Weld CLD","Lynas Corporation Ltd.","Proven + Probable","HoT",0.00633802816901408
"675","Mountain Pass","Molycorp Inc.","Proven + Probable","HoT",0.00120072043225936
"676","Nechalacho Basal","Avalon Rare Metals Inc.","Proven + Probable","HoT",0.226737212957137
"677","Ngualla","Peak Resources Ltd.","Proven + Probable","HoT",0.0037984806077569
"678","Norra Kärr","Tasman Metals Ltd.","Proven + Probable","HoT",0.494046714292952
"679","Strange Lake Enriched","Quest Rare Minerals Ltd.","Proven + Probable","HoT",0.428878753979864
"680","Araxá","MBAC Fertilizer Corp.","Measured + Indicated","LoT",0.984491872975249
"681","Ashram MHREO","Commerce Resources Corp.","Measured + Indicated","LoT",0.942824535780336
"682","Ashram Total","Commerce Resources Corp.","Measured + Indicated","LoT",0.969835258519516
"683","Bear Lodge","Rare Element Resources Ltd.","Measured + Indicated","LoT",0.982298815585649
"684","Bokan - Dotson","Ucore Rare Metals Inc.","Measured + Indicated","LoT",0.635772357723577
"685","Brockmans","Hastings Rare Metals Limited","Measured + Indicated","LoT",0.179352997145576
"686","Browns Range","Northern Minerals Limited","Measured + Indicated","LoT",0.210819958507254
"687","Buckton","DNI Metals Inc.","Measured + Indicated","LoT",0.781919111816019
"688","Charley Creek - Cattle Creek ","Crossland Strategic Metals Ltd.","Measured + Indicated","LoT",0.816
"689","Charley Creek - Western Dam ","Crossland Strategic Metals Ltd.","Measured + Indicated","LoT",0.816
"690","Dubbo Zirconia Project","Alkane Resources Ltd.","Measured + Indicated","LoT",0.79
"691","Eco Ridge","Pele Mountain Resources Inc.","Measured + Indicated","LoT",0.9275
"692","Elliott Lake Teasdale","Appia Energy Corp.","Measured + Indicated","LoT",0.942198011445292
"693","Foxtrot","Search Minerals Inc.","Measured + Indicated","LoT",0.823979098122702
"694","Glenover ","Galileo Resources PLC","Measured + Indicated","LoT",0.96148233300919
"695","Hoidas Lake ","Great Western Minerals  Ltd.","Measured + Indicated","LoT",0.983019625132854
"696","Kipawa","Matamec Explorations Inc.","Measured + Indicated","LoT",0.645117816803554
"697","Lavergne-Springer","Canada Rare Earth Corp.","Measured + Indicated","LoT",0.959649122807018
"698","Lofdal","Namibia Rare Earths Inc.","Measured + Indicated","LoT",0.19645732689211
"699","Montviel","Geomega Resources Inc.","Measured + Indicated","LoT",0.992153083700441
"700","Mount Weld CLD","Lynas Corporation Ltd.","Measured + Indicated","LoT",0.993661971830986
"701","Mount Weld Duncan","Lynas Corporation Ltd.","Measured + Indicated","LoT",0.924615076984603
"702","Mrima Hill High Grade","Pacific Wildcat Resources Corp.","Measured + Indicated","LoT",0.960081853816002
"703","Mrima Hill Main","Pacific Wildcat Resources Corp.","Measured + Indicated","LoT",0.940498604904385
"704","Nechalacho Basal","Avalon Rare Metals Inc.","Measured + Indicated","LoT",0.823490566600174
"705","Nechalacho Upper","Avalon Rare Metals Inc.","Measured + Indicated","LoT",0.929915767307186
"706","Ngualla","Peak Resources Ltd.","Measured + Indicated","LoT",0.9919
"707","Nolans","Arafura Resources Ltd.","Measured + Indicated","LoT",0.980625281585822
"708","Norra Kärr","Tasman Metals Ltd.","Measured + Indicated","LoT",0.526099820365609
"709","Olserum","Tasman Metals Ltd.","Measured + Indicated","LoT",0.685631300187938
"710","Round Top","Texas Rare Earth Resources Corp.","Measured + Indicated","LoT",0.292997809928711
"711","Sarfartoq","Hudson Resources Inc.","Measured + Indicated","LoT",0.993444846292947
"712","Songwe Hill","Mkango Resources Ltd.","Measured + Indicated","LoT",0.94840352881494
"713","Steenkampskraal - In Situ","Great Western Minerals  Ltd.","Measured + Indicated","LoT",0.940912255071551
"714","Steenkampskraal - Tailings","Great Western Minerals  Ltd.","Measured + Indicated","LoT",0.936279977691021
"715","Strange Lake Enriched","Quest Rare Minerals Ltd.","Measured + Indicated","LoT",0.531575294934074
"716","Strange Lake Granite","Quest Rare Minerals Ltd.","Measured + Indicated","LoT",0.647982062780269
"717","Tantalus","Tantalus Rare Earths AG","Measured + Indicated","LoT",0.834725621406538
"718","Xiluvo","Promac Lda.","Measured + Indicated","LoT",0.945812807881773
"719","Yangibana ","Hastings Rare Metals Limited","Measured + Indicated","LoT",0.989487890566038
"720","Zandkopsdrift ","Frontier Rare Earths Ltd.","Measured + Indicated","LoT",0.941979752722227
"721","Aksu Diamas","AMR Mineral Metal Inc.","Measured + Indicated + Inferred","LoT",0.925965772977005
"722","Araxá","MBAC Fertilizer Corp.","Measured + Indicated + Inferred","LoT",0.983495008303452
"723","Ashram MHREO","Commerce Resources Corp.","Measured + Indicated + Inferred","LoT",0.943102857133012
"724","Ashram Total","Commerce Resources Corp.","Measured + Indicated + Inferred","LoT",0.975476804052773
"725","Bear Lodge","Rare Element Resources Ltd.","Measured + Indicated + Inferred","LoT",0.979360361543047
"726","Bokan - Dotson","Ucore Rare Metals Inc.","Measured + Indicated + Inferred","LoT",0.640220791412488
"727","Brockmans","Hastings Rare Metals Limited","Measured + Indicated + Inferred","LoT",0.179352997145576
"728","Browns Range","Northern Minerals Limited","Measured + Indicated + Inferred","LoT",0.210933425155309
"729","Buckton","DNI Metals Inc.","Measured + Indicated + Inferred","LoT",0.77981448603885
"730","Buckton South","DNI Metals Inc.","Measured + Indicated + Inferred","LoT",0.77608956417433
"731","Charley Creek - Cattle Creek ","Crossland Strategic Metals Ltd.","Measured + Indicated + Inferred","LoT",0.816
"732","Charley Creek - Western Dam ","Crossland Strategic Metals Ltd.","Measured + Indicated + Inferred","LoT",0.816
"733","Clay-Howells","Canada Rare Earth Corp.","Measured + Indicated + Inferred","LoT",0.925925925925926
"734","Dubbo Zirconia Project","Alkane Resources Ltd.","Measured + Indicated + Inferred","LoT",0.79
"735","Eco Ridge","Pele Mountain Resources Inc.","Measured + Indicated + Inferred","LoT",0.926352957080444
"736","Elliott Lake Teasdale","Appia Energy Corp.","Measured + Indicated + Inferred","LoT",0.942250721271685
"737","Foxtrot","Search Minerals Inc.","Measured + Indicated + Inferred","LoT",0.824441472174579
"738","Glenover ","Galileo Resources PLC","Measured + Indicated + Inferred","LoT",0.961163515780313
"739","Hoidas Lake ","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","LoT",0.982607848354361
"740","Kipawa","Matamec Explorations Inc.","Measured + Indicated + Inferred","LoT",0.650342330757322
"741","Lavergne-Springer","Canada Rare Earth Corp.","Measured + Indicated + Inferred","LoT",0.968230710445487
"742","Lofdal","Namibia Rare Earths Inc.","Measured + Indicated + Inferred","LoT",0.197817399323701
"743","Milo","GBM Resources Ltd.","Measured + Indicated + Inferred","LoT",0.892561983471074
"744","Montviel","Geomega Resources Inc.","Measured + Indicated + Inferred","LoT",0.991961718797128
"745","Mount Weld CLD","Lynas Corporation Ltd.","Measured + Indicated + Inferred","LoT",0.993661971830986
"746","Mount Weld Duncan","Lynas Corporation Ltd.","Measured + Indicated + Inferred","LoT",0.924615076984603
"747","Mrima Hill High Grade","Pacific Wildcat Resources Corp.","Measured + Indicated + Inferred","LoT",0.960081132783225
"748","Mrima Hill Main","Pacific Wildcat Resources Corp.","Measured + Indicated + Inferred","LoT",0.940495572026748
"749","Nechalacho Basal","Avalon Rare Metals Inc.","Measured + Indicated + Inferred","LoT",0.834168402636267
"750","Nechalacho Upper","Avalon Rare Metals Inc.","Measured + Indicated + Inferred","LoT",0.931704303272813
"751","Ngualla","Peak Resources Ltd.","Measured + Indicated + Inferred","LoT",0.9919
"752","Nolans","Arafura Resources Ltd.","Measured + Indicated + Inferred","LoT",0.976989338219503
"753","Norra Kärr","Tasman Metals Ltd.","Measured + Indicated + Inferred","LoT",0.53217607942578
"754","Olserum","Tasman Metals Ltd.","Measured + Indicated + Inferred","LoT",0.696144107182923
"755","Round Top","Texas Rare Earth Resources Corp.","Measured + Indicated + Inferred","LoT",0.294431388427242
"756","Sarfartoq","Hudson Resources Inc.","Measured + Indicated + Inferred","LoT",0.993297901943539
"757","Songwe Hill","Mkango Resources Ltd.","Measured + Indicated + Inferred","LoT",0.946591453330063
"758","Steenkampskraal - In Situ","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","LoT",0.940929098196263
"759","Steenkampskraal - Tailings","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","LoT",0.936279977691021
"760","Strange Lake Enriched","Quest Rare Minerals Ltd.","Measured + Indicated + Inferred","LoT",0.531575294934074
"761","Strange Lake Granite","Quest Rare Minerals Ltd.","Measured + Indicated + Inferred","LoT",0.661598909649625
"762","Tantalus","Tantalus Rare Earths AG","Measured + Indicated + Inferred","LoT",0.848926921097102
"763","Two Tom","Canada Rare Earth Corp.","Measured + Indicated + Inferred","LoT",0.956006768189509
"764","Wigu Hill Twiga","Montero Mining and Exploration Ltd.","Measured + Indicated + Inferred","LoT",0.997162818341875
"765","Xiluvo","Promac Lda.","Measured + Indicated + Inferred","LoT",0.945812807881773
"766","Yangibana ","Hastings Rare Metals Limited","Measured + Indicated + Inferred","LoT",0.989527588411519
"767","Zandkopsdrift ","Frontier Rare Earths Ltd.","Measured + Indicated + Inferred","LoT",0.941987611483333
"768","Bear Lodge","Rare Element Resources Ltd.","Proven + Probable","LoT",0.981532566246062
"769","Dubbo Zirconia Project","Alkane Resources Ltd.","Proven + Probable","LoT",0.79
"770","Kipawa","Matamec Explorations Inc.","Proven + Probable","LoT",0.666666666666667
"771","Mount Weld CLD","Lynas Corporation Ltd.","Proven + Probable","LoT",0.993661971830986
"772","Mountain Pass","Molycorp Inc.","Proven + Probable","LoT",0.998799279567741
"773","Nechalacho Basal","Avalon Rare Metals Inc.","Proven + Probable","LoT",0.773262787042863
"774","Ngualla","Peak Resources Ltd.","Proven + Probable","LoT",0.996201519392243
"775","Norra Kärr","Tasman Metals Ltd.","Proven + Probable","LoT",0.505953285707048
"776","Strange Lake Enriched","Quest Rare Minerals Ltd.","Proven + Probable","LoT",0.571121246020136
"777","Araxá","MBAC Fertilizer Corp.","Measured + Indicated","CoT",0.14575980817137
"778","Ashram MHREO","Commerce Resources Corp.","Measured + Indicated","CoT",0.204878591286846
"779","Ashram Total","Commerce Resources Corp.","Measured + Indicated","CoT",0.17638514958253
"780","Bear Lodge","Rare Element Resources Ltd.","Measured + Indicated","CoT",0.190532556555774
"781","Bokan - Dotson","Ucore Rare Metals Inc.","Measured + Indicated","CoT",0.188617886178862
"782","Brockmans","Hastings Rare Metals Limited","Measured + Indicated","CoT",0.136060894386299
"783","Browns Range","Northern Minerals Limited","Measured + Indicated","CoT",0.139372999050034
"784","Buckton","DNI Metals Inc.","Measured + Indicated","CoT",0.187946074544013
"785","Charley Creek - Cattle Creek ","Crossland Strategic Metals Ltd.","Measured + Indicated","CoT",0.18
"786","Charley Creek - Western Dam ","Crossland Strategic Metals Ltd.","Measured + Indicated","CoT",0.18
"787","Dubbo Zirconia Project","Alkane Resources Ltd.","Measured + Indicated","CoT",0.165
"788","Eco Ridge","Pele Mountain Resources Inc.","Measured + Indicated","CoT",0.16
"789","Elliott Lake Teasdale","Appia Energy Corp.","Measured + Indicated","CoT",0.160379431825699
"790","Foxtrot","Search Minerals Inc.","Measured + Indicated","CoT",0.19295529320689
"791","Glenover ","Galileo Resources PLC","Measured + Indicated","CoT",0.241719786145773
"792","Hoidas Lake ","Great Western Minerals  Ltd.","Measured + Indicated","CoT",0.219504363555812
"793","Kipawa","Matamec Explorations Inc.","Measured + Indicated","CoT",0.190357404754935
"794","Lavergne-Springer","Canada Rare Earth Corp.","Measured + Indicated","CoT",0.182456140350877
"795","Lofdal","Namibia Rare Earths Inc.","Measured + Indicated","CoT",0.127214170692432
"796","Montviel","Geomega Resources Inc.","Measured + Indicated","CoT",0.172219162995595
"797","Mount Weld CLD","Lynas Corporation Ltd.","Measured + Indicated","CoT",0.192454728370221
"798","Mount Weld Duncan","Lynas Corporation Ltd.","Measured + Indicated","CoT",0.201859628074385
"799","Mrima Hill High Grade","Pacific Wildcat Resources Corp.","Measured + Indicated","CoT",0.158476481438783
"800","Mrima Hill Main","Pacific Wildcat Resources Corp.","Measured + Indicated","CoT",0.164462491209763
"801","Nechalacho Basal","Avalon Rare Metals Inc.","Measured + Indicated","CoT",0.210410195990638
"802","Nechalacho Upper","Avalon Rare Metals Inc.","Measured + Indicated","CoT",0.213608844432745
"803","Ngualla","Peak Resources Ltd.","Measured + Indicated","CoT",0.1688
"804","Nolans","Arafura Resources Ltd.","Measured + Indicated","CoT",0.214239543916135
"805","Norra Kärr","Tasman Metals Ltd.","Measured + Indicated","CoT",0.165351695959987
"806","Olserum","Tasman Metals Ltd.","Measured + Indicated","CoT",0.194771911840082
"807","Round Top","Texas Rare Earth Resources Corp.","Measured + Indicated","CoT",0.115040287234409
"808","Sarfartoq","Hudson Resources Inc.","Measured + Indicated","CoT",0.192981464737794
"809","Songwe Hill","Mkango Resources Ltd.","Measured + Indicated","CoT",0.179545294893492
"810","Steenkampskraal - In Situ","Great Western Minerals  Ltd.","Measured + Indicated","CoT",0.192693740546881
"811","Steenkampskraal - Tailings","Great Western Minerals  Ltd.","Measured + Indicated","CoT",0.191717791411043
"812","Strange Lake Enriched","Quest Rare Minerals Ltd.","Measured + Indicated","CoT",0.15058986814712
"813","Strange Lake Granite","Quest Rare Minerals Ltd.","Measured + Indicated","CoT",0.165919282511211
"814","Tantalus","Tantalus Rare Earths AG","Measured + Indicated","CoT",0.177508129545494
"815","Xiluvo","Promac Lda.","Measured + Indicated","CoT",0.187192118226601
"816","Yangibana ","Hastings Rare Metals Limited","Measured + Indicated","CoT",0.245867777987421
"817","Zandkopsdrift ","Frontier Rare Earths Ltd.","Measured + Indicated","CoT",0.174074274560543
"818","Aksu Diamas","AMR Mineral Metal Inc.","Measured + Indicated + Inferred","CoT",0.160663309951084
"819","Araxá","MBAC Fertilizer Corp.","Measured + Indicated + Inferred","CoT",0.145437711525713
"820","Ashram MHREO","Commerce Resources Corp.","Measured + Indicated + Inferred","CoT",0.204751811427816
"821","Ashram Total","Commerce Resources Corp.","Measured + Indicated + Inferred","CoT",0.176259583739227
"822","Bear Lodge","Rare Element Resources Ltd.","Measured + Indicated + Inferred","CoT",0.192925091004772
"823","Bokan - Dotson","Ucore Rare Metals Inc.","Measured + Indicated + Inferred","CoT",0.19040307038058
"824","Brockmans","Hastings Rare Metals Limited","Measured + Indicated + Inferred","CoT",0.136060894386299
"825","Browns Range","Northern Minerals Limited","Measured + Indicated + Inferred","CoT",0.1381526169275
"826","Buckton","DNI Metals Inc.","Measured + Indicated + Inferred","CoT",0.190472560346478
"827","Buckton South","DNI Metals Inc.","Measured + Indicated + Inferred","CoT",0.193522590963615
"828","Charley Creek - Cattle Creek ","Crossland Strategic Metals Ltd.","Measured + Indicated + Inferred","CoT",0.18
"829","Charley Creek - Western Dam ","Crossland Strategic Metals Ltd.","Measured + Indicated + Inferred","CoT",0.18
"830","Clay-Howells","Canada Rare Earth Corp.","Measured + Indicated + Inferred","CoT",0.171467764060357
"831","Dubbo Zirconia Project","Alkane Resources Ltd.","Measured + Indicated + Inferred","CoT",0.165
"832","Eco Ridge","Pele Mountain Resources Inc.","Measured + Indicated + Inferred","CoT",0.160251837896575
"833","Elliott Lake Teasdale","Appia Energy Corp.","Measured + Indicated + Inferred","CoT",0.0834889619569991
"834","Foxtrot","Search Minerals Inc.","Measured + Indicated + Inferred","CoT",0.192441849109847
"835","Glenover ","Galileo Resources PLC","Measured + Indicated + Inferred","CoT",0.239917620423352
"836","Hoidas Lake ","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","CoT",0.218652036142643
"837","Kipawa","Matamec Explorations Inc.","Measured + Indicated + Inferred","CoT",0.189283937037409
"838","Lavergne-Springer","Canada Rare Earth Corp.","Measured + Indicated + Inferred","CoT",0.169078725700362
"839","Lofdal","Namibia Rare Earths Inc.","Measured + Indicated + Inferred","CoT",0.127420842299416
"840","Milo","GBM Resources Ltd.","Measured + Indicated + Inferred","CoT",0.152066115702479
"841","Montviel","Geomega Resources Inc.","Measured + Indicated + Inferred","CoT",0.171690675858802
"842","Mount Weld CLD","Lynas Corporation Ltd.","Measured + Indicated + Inferred","CoT",0.192454728370221
"843","Mount Weld Duncan","Lynas Corporation Ltd.","Measured + Indicated + Inferred","CoT",0.201859628074385
"844","Mrima Hill High Grade","Pacific Wildcat Resources Corp.","Measured + Indicated + Inferred","CoT",0.158475815647096
"845","Mrima Hill Main","Pacific Wildcat Resources Corp.","Measured + Indicated + Inferred","CoT",0.164463300257342
"846","Nechalacho Basal","Avalon Rare Metals Inc.","Measured + Indicated + Inferred","CoT",0.212672126467211
"847","Nechalacho Upper","Avalon Rare Metals Inc.","Measured + Indicated + Inferred","CoT",0.214098238839819
"848","Ngualla","Peak Resources Ltd.","Measured + Indicated + Inferred","CoT",0.1688
"849","Nolans","Arafura Resources Ltd.","Measured + Indicated + Inferred","CoT",0.217050656172381
"850","Norra Kärr","Tasman Metals Ltd.","Measured + Indicated + Inferred","CoT",0.16582140082605
"851","Olserum","Tasman Metals Ltd.","Measured + Indicated + Inferred","CoT",0.194236994775474
"852","Round Top","Texas Rare Earth Resources Corp.","Measured + Indicated + Inferred","CoT",0.11533521531201
"853","Sarfartoq","Hudson Resources Inc.","Measured + Indicated + Inferred","CoT",0.194927717123229
"854","Songwe Hill","Mkango Resources Ltd.","Measured + Indicated + Inferred","CoT",0.178766866217564
"855","Steenkampskraal - In Situ","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","CoT",0.192823551009534
"856","Steenkampskraal - Tailings","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","CoT",0.191717791411043
"857","Strange Lake Enriched","Quest Rare Minerals Ltd.","Measured + Indicated + Inferred","CoT",0.15058986814712
"858","Strange Lake Granite","Quest Rare Minerals Ltd.","Measured + Indicated + Inferred","CoT",0.167203119963537
"859","Tantalus","Tantalus Rare Earths AG","Measured + Indicated + Inferred","CoT",0.17605988185689
"860","Two Tom","Canada Rare Earth Corp.","Measured + Indicated + Inferred","CoT",0.17005076142132
"861","Wigu Hill Twiga","Montero Mining and Exploration Ltd.","Measured + Indicated + Inferred","CoT",0.0878778703568719
"862","Xiluvo","Promac Lda.","Measured + Indicated + Inferred","CoT",0.187192118226601
"863","Yangibana ","Hastings Rare Metals Limited","Measured + Indicated + Inferred","CoT",0.240785990519989
"864","Zandkopsdrift ","Frontier Rare Earths Ltd.","Measured + Indicated + Inferred","CoT",0.174079302181636
"865","Bear Lodge","Rare Element Resources Ltd.","Proven + Probable","CoT",0.19118226088774
"866","Dubbo Zirconia Project","Alkane Resources Ltd.","Proven + Probable","CoT",0.165
"867","Kipawa","Matamec Explorations Inc.","Proven + Probable","CoT",0.178362573099415
"868","Mount Weld CLD","Lynas Corporation Ltd.","Proven + Probable","CoT",0.192454728370221
"869","Mountain Pass","Molycorp Inc.","Proven + Probable","CoT",0.118371022613568
"870","Nechalacho Basal","Avalon Rare Metals Inc.","Proven + Probable","CoT",0.210769782900647
"871","Ngualla","Peak Resources Ltd.","Proven + Probable","CoT",0.170231907237105
"872","Norra Kärr","Tasman Metals Ltd.","Proven + Probable","CoT",0.165239566972353
"873","Strange Lake Enriched","Quest Rare Minerals Ltd.","Proven + Probable","CoT",0.153343085792961
"874","Araxá","MBAC Fertilizer Corp.","Measured + Indicated","MoT",0.202637082600584
